s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,ganjam,kukudakhandi,19,mohada,0,26.89,17.37,9.99,0,0,27.36,-0.47,0.36,1136,ganjam,kukudakhandi,mohada
odisha,ganjam,kukudakhandi,20,nimakhandi,0,4.35,2.23,2.12,0,0,4.35,0,0.05,1137,ganjam,kukudakhandi,nimakhandi
odisha,ganjam,kukudakhandi,21,rohigam,0,31.82,21.02,16.51,0,0,37.52,-5.71,0.09,1138,ganjam,kukudakhandi,rohigam
odisha,ganjam,kukudakhandi,22,sihala,0,23.29,22.3,1,0,0,23.29,0,0.02,1139,ganjam,kukudakhandi,sihala
odisha,ganjam,patrapur,1,ambapur,0,24.71,17.51,7.03,0,0,24.55,0.16,0.75,1140,ganjam,patrapur,ambapur
odisha,ganjam,patrapur,2,ankuli,1,10.25,3.72,5.4,0,0,9.12,1.12,0.08,1141,ganjam,patrapur,ankuli
odisha,ganjam,patrapur,3,b.nuagam,0,5.13,4.72,0.07,0,0,4.79,0.34,0,1142,ganjam,patrapur,b.nuagam
odisha,ganjam,patrapur,4,badapur,0,10.78,10.71,0,0,0,10.71,0.07,0.06,1143,ganjam,patrapur,badapur
odisha,ganjam,patrapur,5,baranga,0,11.72,11.67,0,0,0,11.67,0.05,0.08,1144,ganjam,patrapur,baranga
odisha,ganjam,patrapur,6,buratala,0,10.05,9.76,0,0,0,9.76,0.29,0.07,1145,ganjam,patrapur,buratala
odisha,ganjam,patrapur,7,gudipadara,0,16.07,15.98,0,0,0,15.98,0.09,0.1,1146,ganjam,patrapur,gudipadara
odisha,ganjam,patrapur,8,gundura,0,28.22,21.28,6.87,0,0,28.16,0.06,0.07,1147,ganjam,patrapur,gundura
odisha,ganjam,patrapur,9,jarada,0,10.29,8.06,2.08,0,0,10.13,0.16,0.14,1148,ganjam,patrapur,jarada
odisha,ganjam,patrapur,10,jayantipur,0,1.74,0.88,0.86,0,0,1.74,0,0.05,1149,ganjam,patrapur,jayantipur
odisha,ganjam,patrapur,11,kesaripada,0,11.71,11.46,0,0,0,11.46,0.25,0.17,1150,ganjam,patrapur,kesaripada
odisha,ganjam,patrapur,12,khamarigam,0,10.98,10.7,0,0,0,10.7,0.28,0.05,1151,ganjam,patrapur,khamarigam
odisha,ganjam,patrapur,13,kharanipada,0,19.51,10.37,9.01,0,0,19.38,0.13,0.28,1152,ganjam,patrapur,kharanipada
odisha,ganjam,patrapur,14,khariaguda,0,44.46,24.89,19.39,0,0,44.28,0.18,0.12,1153,ganjam,patrapur,khariaguda
odisha,ganjam,patrapur,15,mandarada,0,26.61,15.2,11.22,0,0,26.42,0.19,0.4,1154,ganjam,patrapur,mandarada
odisha,ganjam,patrapur,16,padadigi,0,13.9,11.37,2.37,0,0,13.74,0.16,0.2,1155,ganjam,patrapur,padadigi
odisha,ganjam,patrapur,17,patrapur,0,14.68,11.99,2.67,0,0,14.66,0.02,0.05,1156,ganjam,patrapur,patrapur
odisha,ganjam,patrapur,18,samantarapur,0,0.25,0.3,0.12,0,0,0.42,-0.17,0,1157,ganjam,patrapur,samantarapur
odisha,ganjam,patrapur,19,samantiapalli,0,19.13,18.75,0.34,0,0,19.09,0.03,0.32,1158,ganjam,patrapur,samantiapalli
odisha,ganjam,patrapur,20,surangi,0,57.01,24.22,32.61,0,0,56.84,0.18,0.26,1159,ganjam,patrapur,surangi
odisha,ganjam,patrapur,21,tandipur,2.85,30.32,21.72,5.67,0,0,27.39,2.92,0.27,1160,ganjam,patrapur,tandipur
odisha,ganjam,patrapur,22,tumbagada,0,1.27,0.92,0.18,0,0,1.1,0.17,0.01,1161,ganjam,patrapur,tumbagada
odisha,ganjam,patrapur,23,turubudi,0,16.06,10.99,5.07,0,0,16.06,0,0.17,1162,ganjam,patrapur,turubudi
odisha,ganjam,polasara,1,badapankalabadi,0,14.56,12.34,2.34,0,0,14.69,-0.13,0.37,1163,ganjam,polasara,badapankalabadi
odisha,ganjam,polasara,2,balichhai,0,21.27,15.23,6.46,0,0,21.7,-0.43,0.01,1164,ganjam,polasara,balichhai
odisha,ganjam,polasara,3,banthapalli,0,1.51,0.13,0,0,0,0.13,1.38,0.01,1165,ganjam,polasara,banthapalli
odisha,ganjam,polasara,4,bartani,0,9.62,9.42,0.16,0,0,9.58,0.04,0.06,1166,ganjam,polasara,bartani
odisha,ganjam,polasara,5,belagam,0,16.52,15.52,0.39,0,0,15.91,0.61,0.03,1167,ganjam,polasara,belagam
odisha,ganjam,polasara,6,bhabarada,0,3.49,2.63,3.03,0,0,5.66,-2.17,0.01,1168,ganjam,polasara,bhabarada
odisha,ganjam,polasara,7,budheisuni,0,7.48,7.24,0,0,0,7.24,0.25,0.08,1169,ganjam,polasara,budheisuni
odisha,ganjam,polasara,8,chirikipadasasan,0,5.71,3.82,1.88,0,0,5.71,0,0.04,1170,ganjam,polasara,chirikipadasasan
odisha,ganjam,polasara,9,dhunkapada,0,12.31,6.57,5.74,0,0,12.31,0,0,1171,ganjam,polasara,dhunkapada
odisha,ganjam,polasara,10,ghodapalana,0,17,11.62,5.33,0,0,16.96,0.04,0.19,1172,ganjam,polasara,ghodapalana
odisha,ganjam,polasara,11,gochabadi,0,7.21,2.29,4.7,0,0,7,0.21,0,1173,ganjam,polasara,gochabadi
odisha,ganjam,polasara,12,hatiota,0,8.99,7.91,0.72,0,0,8.64,0.35,0.02,1174,ganjam,polasara,hatiota
odisha,ganjam,polasara,13,j.dengapadar,0,29.69,27.3,2.34,0,0,29.64,0.04,0.22,1175,ganjam,polasara,j.dengapadar
odisha,ganjam,polasara,14,jakara,0,17.12,14.51,3.01,0,0,17.51,-0.39,0,1176,ganjam,polasara,jakara
odisha,ganjam,polasara,15,kalamba,0,3.84,3.11,0.73,0,0,3.84,0,0.05,1177,ganjam,polasara,kalamba
odisha,ganjam,polasara,16,kanachai,0,9.59,8.61,0.78,0,0,9.39,0.2,0.16,1178,ganjam,polasara,kanachai
odisha,ganjam,polasara,17,kendubadi,0,11,9.6,2.53,0,0,12.13,-1.13,0.01,1179,ganjam,polasara,kendubadi
odisha,ganjam,polasara,18,khanduru,0,4.37,5.68,0.06,0,0,5.74,-1.37,0,1180,ganjam,polasara,khanduru
odisha,ganjam,polasara,19,madhupalli,0,22.5,13.03,9.42,0,0,22.45,0.05,0,1181,ganjam,polasara,madhupalli
odisha,ganjam,polasara,20,malatentulia,0,25.54,25.23,0,0,0,25.23,0.31,1,1182,ganjam,polasara,malatentulia
odisha,ganjam,polasara,21,mandar,0,20.38,15.23,5.16,0,0,20.39,-0.01,0.08,1183,ganjam,polasara,mandar
odisha,ganjam,polasara,22,mathura,0,16.22,13.6,2.62,0,0,16.22,0,0.02,1184,ganjam,polasara,mathura
odisha,ganjam,polasara,23,nimina,0,13.22,13.23,0,0,0,13.22,0,0.14,1185,ganjam,polasara,nimina
odisha,ganjam,polasara,24,pandiripada,0,9.68,7.39,0,0,0,7.39,2.29,0.31,1186,ganjam,polasara,pandiripada
odisha,ganjam,polasara,25,rumagada,0,11.15,7.39,3.76,0,0,11.15,0,0,1187,ganjam,polasara,rumagada
odisha,ganjam,polasara,26,sodaka,0,21.81,19.12,2.52,0,0,21.64,0.17,0.28,1188,ganjam,polasara,sodaka
odisha,ganjam,purusottampur,1,achuli,0,20.01,19.3,0.71,0,0,20.01,0,0.15,1189,ganjam,purusottampur,achuli
odisha,ganjam,purusottampur,2,anatirigam,0,17.74,13.86,3.88,0,0,17.74,0,0.61,1190,ganjam,purusottampur,anatirigam
odisha,ganjam,purusottampur,3,arakhapur,0,3.35,1.81,1.53,0,0,3.35,0,0.08,1191,ganjam,purusottampur,arakhapur
odisha,ganjam,purusottampur,4,badabaragam,0,26.1,20.93,5.15,0,0,26.09,0.01,0.16,1192,ganjam,purusottampur,badabaragam
odisha,ganjam,purusottampur,5,badakharida,0,25.35,22.94,2.39,0,0,25.33,0.02,0.05,1193,ganjam,purusottampur,badakharida
odisha,ganjam,purusottampur,6,baghala,0,12.66,11.98,0.67,0,0,12.65,0.01,0.22,1194,ganjam,purusottampur,baghala
odisha,ganjam,purusottampur,7,bhatakumarada,0,36.55,27.7,8.85,0,0,36.55,0.01,0.01,1195,ganjam,purusottampur,bhatakumarada
odisha,ganjam,purusottampur,8,bhimpur,0,12.68,8.45,4.2,0,0,12.65,0.02,0.02,1196,ganjam,purusottampur,bhimpur
odisha,ganjam,purusottampur,9,bhutasarasingi,0,20.43,17.06,3.37,0,0,20.43,0,0.06,1197,ganjam,purusottampur,bhutasarasingi
odisha,ganjam,purusottampur,10,chingudighai,0,15.46,14.32,1.09,0,0,15.41,0.05,0.08,1198,ganjam,purusottampur,chingudighai
odisha,ganjam,purusottampur,11,chingudipadar nuagam,0,28.78,20.18,8.57,0,0,28.74,0.03,0.04,1199,ganjam,purusottampur,chingudipadar nuagam
odisha,ganjam,purusottampur,12,gangadahani,0,24.49,15.12,9.37,0,0,24.49,0,0.83,1200,ganjam,purusottampur,gangadahani
odisha,ganjam,purusottampur,13,handighar,0,8.37,1.63,0.04,0,0,1.67,6.7,0,1201,ganjam,purusottampur,handighar
odisha,ganjam,purusottampur,14,jaganathapur,0,15.86,13.31,2.47,0,0,15.78,0.08,0.44,1202,ganjam,purusottampur,jaganathapur
odisha,ganjam,purusottampur,15,jamuni,0,21.38,10.58,10.78,0,0,21.36,0.01,0.85,1203,ganjam,purusottampur,jamuni
odisha,ganjam,purusottampur,16,jhadabai,0,42.86,36.88,5.7,0,0,42.58,0.28,1.11,1204,ganjam,purusottampur,jhadabai
odisha,ganjam,purusottampur,17,kama nalinakhyapur,0,42.4,33.82,8.88,0,0,42.71,-0.31,0.32,1205,ganjam,purusottampur,kama nalinakhyapur
odisha,ganjam,purusottampur,18,pandia,0,37.84,26.05,11.78,0,0,37.83,0.01,0.16,1206,ganjam,purusottampur,pandia
odisha,ganjam,purusottampur,19,pratappur,0,26.06,19.62,6.19,0,0,25.81,0.25,0.48,1207,ganjam,purusottampur,pratappur
odisha,ganjam,purusottampur,20,raipur,0,27.95,20.78,7.11,0,0,27.89,0.06,0.13,1208,ganjam,purusottampur,raipur
odisha,ganjam,purusottampur,21,ranajhali,0,28.01,22.26,5.76,0,0,28.01,0,0.03,1209,ganjam,purusottampur,ranajhali
odisha,ganjam,purusottampur,22,sama,0,24.42,17.26,7.19,0,0,24.45,-0.03,0.1,1210,ganjam,purusottampur,sama
odisha,ganjam,purusottampur,23,sikula,0,21.05,17.87,3.18,0,0,21.05,0,0.03,1211,ganjam,purusottampur,sikula
odisha,ganjam,purusottampur,24,solaghara,0,4.62,3.77,0.81,0,0,4.58,0.03,0.25,1212,ganjam,purusottampur,solaghara
odisha,ganjam,purusottampur,25,sunathara,0,28.82,27,1.78,0,0,28.78,0.04,0.16,1213,ganjam,purusottampur,sunathara
odisha,ganjam,purusottampur,26,tankchai,0,22.9,19.05,4.24,0,0,23.29,-0.39,0.16,1214,ganjam,purusottampur,tankchai
odisha,ganjam,purusottampur,27,laxmipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,1215,ganjam,purusottampur,laxmipur
odisha,ganjam,rangailunda,1,badakusastali,0,12.42,11.2,1.19,0,0,12.4,0.02,0.06,1216,ganjam,rangailunda,badakusastali
odisha,ganjam,rangailunda,2,bakshipalli,0,15,6.39,8.59,0,0,14.98,0.02,0.01,1217,ganjam,rangailunda,bakshipalli
odisha,ganjam,rangailunda,3,bhabinipur,0,2.55,1.32,1.23,0,0,2.55,0,0,1218,ganjam,rangailunda,bhabinipur
odisha,ganjam,rangailunda,4,biswanathpur,0,12.61,9,5.47,0,0,14.47,-1.86,0.21,1219,ganjam,rangailunda,biswanathpur
odisha,ganjam,rangailunda,5,chandapur,0,2.42,1.44,0.98,0,0,2.42,0,0.04,1220,ganjam,rangailunda,chandapur
odisha,ganjam,rangailunda,6,chikarada,0,3.27,1.01,2.25,0,0,3.26,0.01,0.04,1221,ganjam,rangailunda,chikarada
odisha,ganjam,rangailunda,7,dura,0,1.51,1.23,0.27,0,0,1.5,0.01,0,1222,ganjam,rangailunda,dura
odisha,ganjam,rangailunda,8,ganju,0,2.6,0.87,1.71,0,0,2.58,0.02,0.05,1223,ganjam,rangailunda,ganju
odisha,ganjam,rangailunda,9,golabandha,0,6.03,5.16,0.79,0,0,5.95,0.08,0.03,1224,ganjam,rangailunda,golabandha
odisha,ganjam,rangailunda,10,golanthara,0,19.75,8.51,11.24,0,0,19.75,0,0.05,1225,ganjam,rangailunda,golanthara
odisha,ganjam,rangailunda,11,haladiapadar,0,1.27,0.36,0.91,0,0,1.27,0,1.13,1226,ganjam,rangailunda,haladiapadar
odisha,ganjam,rangailunda,12,hatipada,0,7.57,7.15,0.42,0,0,7.57,0,0.15,1227,ganjam,rangailunda,hatipada
odisha,ganjam,rangailunda,13,indrakhi,0,9.34,9.18,0.16,0,0,9.34,0,0,1228,ganjam,rangailunda,indrakhi
odisha,ganjam,rangailunda,14,kamalapur,0,5.92,4.55,1.37,0,0,5.92,0,0,1229,ganjam,rangailunda,kamalapur
odisha,ganjam,rangailunda,15,kanisi,0,1.69,0.58,1.11,0,0,1.69,0,0.01,1230,ganjam,rangailunda,kanisi
odisha,ganjam,rangailunda,16,karapalli,0,1.93,1.66,0.27,0,0,1.93,0,0,1231,ganjam,rangailunda,karapalli
odisha,ganjam,rangailunda,17,keluapalli,0,8.78,5.63,3.14,0,0,8.77,0.01,0.15,1232,ganjam,rangailunda,keluapalli
odisha,ganjam,rangailunda,18,kolathigam,0,5.9,1.21,4.68,0,0,5.89,0.01,0,1233,ganjam,rangailunda,kolathigam
odisha,ganjam,rangailunda,19,kotharasingi,0,12.96,6.03,6.87,0,0,12.9,0.06,0,1234,ganjam,rangailunda,kotharasingi
odisha,ganjam,rangailunda,20,laudigam,0,11.28,6.96,4.31,0,0,11.28,0,0,1235,ganjam,rangailunda,laudigam
odisha,ganjam,rangailunda,21,luhajhar,0,4.19,3.34,0.85,0,0,4.19,0,0.05,1236,ganjam,rangailunda,luhajhar
odisha,ganjam,rangailunda,22,mantridi,0,21.59,19.18,2.39,0,0,21.56,0.03,0.11,1237,ganjam,rangailunda,mantridi
odisha,ganjam,rangailunda,23,markandi,0,2.09,1.65,0.45,0,0,2.09,0,0.03,1238,ganjam,rangailunda,markandi
odisha,ganjam,rangailunda,24,mendrajpur,0,3.1,2.81,0.28,0,0,3.08,0.01,0,1239,ganjam,rangailunda,mendrajpur
odisha,ganjam,rangailunda,25,narayanpur,0,0.08,0.08,0,0,0,0.08,0,0,1240,ganjam,rangailunda,narayanpur
odisha,ganjam,rangailunda,26,padmapur,0,3.51,2.95,0.56,0,0,3.51,0,0.08,1241,ganjam,rangailunda,padmapur
odisha,ganjam,rangailunda,27,phulta,0,14.39,10.41,3.97,0,0,14.39,0,0.07,1242,ganjam,rangailunda,phulta
odisha,ganjam,rangailunda,28,randha,0,3.36,1.64,1.71,0,0,3.35,0.01,0,1243,ganjam,rangailunda,randha
odisha,ganjam,rangailunda,29,rangeilunda,0,3.58,1.54,2.04,0,0,3.58,0,0,1244,ganjam,rangailunda,rangeilunda
odisha,ganjam,rangailunda,30,rangipur,0,28.39,13.49,14.9,0,0,28.39,0,0.07,1245,ganjam,rangailunda,rangipur
odisha,ganjam,rangailunda,31,sasanapadara,0,8.89,6.11,2.78,0,0,8.88,0.01,0.04,1246,ganjam,rangailunda,sasanapadara
odisha,ganjam,rangailunda,32,satakutuni,0,4.5,3.83,0.67,0,0,4.5,0,0.01,1247,ganjam,rangailunda,satakutuni
odisha,ganjam,sanakhemundi,1,adapada,0,22.13,15.29,6.8,0,0,22.09,0.05,0,1248,ganjam,sanakhemundi,adapada
odisha,ganjam,sanakhemundi,2,ambagam,0,4.33,4.29,0,0,0,4.29,0.04,0.04,1249,ganjam,sanakhemundi,ambagam
odisha,ganjam,sanakhemundi,3,chhanameri,0,36.58,21.23,15.34,0,0,36.57,0.01,0.11,1250,ganjam,sanakhemundi,chhanameri
odisha,ganjam,sanakhemundi,4,chudangapur,0,13.79,12.23,1.56,0,0,13.79,0,0,1251,ganjam,sanakhemundi,chudangapur
odisha,ganjam,sanakhemundi,5,dayanidhipur,0,14.41,6.25,7.99,0,0,14.25,0.17,0.05,1252,ganjam,sanakhemundi,dayanidhipur
odisha,ganjam,sanakhemundi,6,dengadi,0,2.33,0.1,2.21,0,0,2.31,0.01,0.01,1253,ganjam,sanakhemundi,dengadi
odisha,ganjam,sanakhemundi,7,erendra,0,4.56,2.85,1.62,0,0,4.47,0.09,0,1254,ganjam,sanakhemundi,erendra
odisha,ganjam,sanakhemundi,8,gangapur,0,26.6,21.52,4.37,0,0,25.9,0.7,0.19,1255,ganjam,sanakhemundi,gangapur
odisha,ganjam,sanakhemundi,9,goutami,0,13.53,8.5,4.92,0,0,13.42,0.11,0.22,1256,ganjam,sanakhemundi,goutami
odisha,ganjam,sanakhemundi,10,jura,0,25.96,18.34,7.53,0,0,25.88,0.08,0.09,1257,ganjam,sanakhemundi,jura
odisha,ganjam,sanakhemundi,11,kalarapadar,0,1.47,0.98,0.48,0,0,1.47,0,0,1258,ganjam,sanakhemundi,kalarapadar
odisha,ganjam,sanakhemundi,12,kankarada,0,17.98,11.3,6.62,0,0,17.92,0.06,0,1259,ganjam,sanakhemundi,kankarada
odisha,ganjam,sanakhemundi,13,kansamari,0,8.69,4.05,4.64,0,0,8.69,0,0,1260,ganjam,sanakhemundi,kansamari
odisha,ganjam,sanakhemundi,14,kaudia,0,4.84,4.01,0.81,0,0,4.83,0.02,0,1261,ganjam,sanakhemundi,kaudia
odisha,ganjam,sanakhemundi,15,khalingi,0,49.59,32.1,17.18,0,0,49.28,0.31,0.26,1262,ganjam,sanakhemundi,khalingi
odisha,ganjam,sanakhemundi,16,maulabhanja,0,40.13,22.39,17.26,0,0,39.65,0.48,0.07,1263,ganjam,sanakhemundi,maulabhanja
odisha,ganjam,sanakhemundi,17,padmapur,0,54.97,32.2,23.32,0,0,55.53,-0.56,0.44,1264,ganjam,sanakhemundi,padmapur
odisha,ganjam,sanakhemundi,18,patapur,0,4.9,2.47,2.4,0,0,4.87,0.03,0.04,1265,ganjam,sanakhemundi,patapur
odisha,ganjam,sanakhemundi,19,pattiguda,0,37.1,19.74,17.31,0.01,0,37.06,0.04,0.03,1266,ganjam,sanakhemundi,pattiguda
odisha,ganjam,sanakhemundi,20,podamari,0,50.79,32.67,15.11,0,0,47.78,3.01,0.08,1267,ganjam,sanakhemundi,podamari
odisha,ganjam,sanakhemundi,21,radhadeipur,0,4.36,2.05,2.3,0,0,4.35,0.01,0,1268,ganjam,sanakhemundi,radhadeipur
odisha,ganjam,sanakhemundi,22,ramachandrapur,0,4.68,4.45,0.18,0,0,4.63,0.06,0.08,1269,ganjam,sanakhemundi,ramachandrapur
odisha,ganjam,sanakhemundi,23,sahaspur,0,12.56,11.23,1.3,0,0,12.53,0.03,0,1270,ganjam,sanakhemundi,sahaspur
odisha,ganjam,sanakhemundi,24,satapentha gopalpur,0,40.79,24.8,15.71,0,0,40.5,0.29,0,1271,ganjam,sanakhemundi,satapentha gopalpur
odisha,ganjam,sanakhemundi,25,singipur,0,50.89,31.36,19.48,0,0,50.85,0.05,0,1272,ganjam,sanakhemundi,singipur
odisha,ganjam,sanakhemundi,26,t.gobindapur,0,97.91,65.99,31.5,0,0,97.49,0.42,0.48,1273,ganjam,sanakhemundi,t.gobindapur
odisha,ganjam,sheragada,1,alarigada,0,20.39,15.46,4.91,0,0,20.37,0.03,0.04,1274,ganjam,sheragada,alarigada
odisha,ganjam,sheragada,2,bandhaguda,0,18.68,17.94,0.72,0,0,18.66,0.02,0,1275,ganjam,sheragada,bandhaguda
odisha,ganjam,sheragada,3,baramunduli,0,18.68,14.65,4,0,0,18.66,0.02,1.12,1276,ganjam,sheragada,baramunduli
odisha,ganjam,sheragada,4,brahmanachai,0,20.28,16.13,4.1,0,0,20.24,0.05,0.12,1277,ganjam,sheragada,brahmanachai
odisha,ganjam,sheragada,5,dengapadara,0,6.79,5.08,1.68,0,0,6.76,0.04,0.01,1278,ganjam,sheragada,dengapadara
odisha,ganjam,sheragada,6,dhabalapur,0,12.57,9.86,2.66,0,0,12.53,0.05,0,1279,ganjam,sheragada,dhabalapur
odisha,ganjam,sheragada,7,dhanantara,0,70.64,48.06,22.56,0,0,70.62,0.02,0.31,1280,ganjam,sheragada,dhanantara
odisha,ganjam,sheragada,8,gobindapur,0,15.47,11.5,3.9,0,0,15.4,0.07,0.02,1281,ganjam,sheragada,gobindapur
odisha,ganjam,sheragada,9,gothagam,0,23.99,12.85,11.07,0,0,23.92,0.07,0.01,1282,ganjam,sheragada,gothagam
odisha,ganjam,sheragada,10,k.karadakana,0,43.76,32.93,10.82,0,0,43.75,0.01,0.76,1283,ganjam,sheragada,k.karadakana
odisha,ganjam,sheragada,11,khirida,0,26.59,19.62,6.83,0,0,26.45,0.14,0.15,1284,ganjam,sheragada,khirida
odisha,ganjam,sheragada,12,krushnachhai,0,27.08,14.96,11.98,0,0,26.94,0.14,0.09,1285,ganjam,sheragada,krushnachhai
odisha,ganjam,sheragada,13,kulagada,0,19.51,15.32,4.18,0,0,19.51,0,0.19,1286,ganjam,sheragada,kulagada
odisha,ganjam,sheragada,14,kumarapani,0,16.04,11.04,4.92,0,0,15.96,0.07,0.33,1287,ganjam,sheragada,kumarapani
odisha,ganjam,sheragada,15,kurula,0,4.89,4.89,0,0,0,4.89,0,0,1288,ganjam,sheragada,kurula
odisha,ganjam,sheragada,16,mahupadar,0,41.28,33.47,7.78,0,0,41.25,0.03,0.52,1289,ganjam,sheragada,mahupadar
odisha,ganjam,sheragada,17,narendrapur,0,31.31,19.89,10.8,0.44,0,31.14,0.17,0.04,1290,ganjam,sheragada,narendrapur
odisha,ganjam,sheragada,18,pitala,0,10.11,4.65,5.2,0,0,9.85,0.26,0.03,1291,ganjam,sheragada,pitala
odisha,ganjam,sheragada,19,sheragada,0,43.71,31.73,11.75,0,0,43.49,0.22,0.4,1292,ganjam,sheragada,sheragada
odisha,ganjam,sheragada,20,tahara,0,7.68,5.77,1.91,0,0,7.68,0,0.02,1293,ganjam,sheragada,tahara
odisha,ganjam,sheragada,21,takarada,0,21.1,18.65,2.39,0,0,21.05,0.05,0.3,1294,ganjam,sheragada,takarada
odisha,ganjam,sheragada,22,thuruburai,0,16.86,13.17,3.66,0,0,16.83,0.03,0.38,1295,ganjam,sheragada,thuruburai
odisha,ganjam,surada,1,amrutulu,0,26.48,23.2,3.15,0,0,26.34,0.14,0.27,1296,ganjam,surada,amrutulu
odisha,ganjam,surada,2,asurabandha,0,27.83,21.93,5.9,0,0,27.83,0,0.5,1297,ganjam,surada,asurabandha
odisha,ganjam,surada,3,bada badangi,0,25.57,26.42,0,0,0,26.43,-0.86,0.61,1298,ganjam,surada,bada badangi
odisha,ganjam,surada,4,bada gochha,0,12.56,10.26,2.28,0,0,12.54,0.02,0.21,1299,ganjam,surada,bada gochha
odisha,ganjam,surada,5,badagada,0,60.33,43.05,17.22,0,0,60.27,0.07,0.74,1300,ganjam,surada,badagada
odisha,ganjam,surada,6,bhagabanpur,0,15.52,12.78,2.71,0,0,15.49,0.03,0.77,1301,ganjam,surada,bhagabanpur
odisha,ganjam,surada,7,borada,0,21.15,15.23,5.91,0,0,21.13,0.02,0.27,1302,ganjam,surada,borada
odisha,ganjam,surada,8,borasingi,0,19.8,14.53,5.24,0,0,19.77,0.03,0.18,1303,ganjam,surada,borasingi
odisha,ganjam,surada,9,ekalapur,0,31.64,24.22,7.39,0,0,31.62,0.02,0,1304,ganjam,surada,ekalapur
odisha,ganjam,surada,10,gajalbadi,0,14.58,14.58,0,0,0,14.58,0,0.27,1305,ganjam,surada,gajalbadi
odisha,ganjam,surada,11,gangapur,0,37.31,28.9,8.41,0,0,37.31,0,0.42,1306,ganjam,surada,gangapur
odisha,ganjam,surada,12,genja,0,20.22,19.34,0.86,0,0,20.19,0.03,0.07,1307,ganjam,surada,genja
odisha,ganjam,surada,13,gochha,0,11.61,11.59,0,0,0,11.59,0.02,0.07,1308,ganjam,surada,gochha
odisha,ganjam,surada,14,gopalpursasan,0,69.45,65.78,3.52,0,0,69.3,0.15,0.75,1309,ganjam,surada,gopalpursasan
odisha,ganjam,surada,15,goudagotha,0,71.95,56.09,20.25,0,0,76.34,-4.39,0.66,1310,ganjam,surada,goudagotha
odisha,ganjam,surada,16,hinjalakuda,0,41.91,29.2,12.64,0,0,41.84,0.07,0.21,1311,ganjam,surada,hinjalakuda
odisha,ganjam,surada,17,hukuma,0,6.62,6.61,0,0,0,6.61,0.01,0.11,1312,ganjam,surada,hukuma
odisha,ganjam,surada,18,kullangi,0,16.18,14.54,1.6,0,0,16.14,0.04,0.24,1313,ganjam,surada,kullangi
odisha,ganjam,surada,19,lathipada,0,22.26,18.95,3.15,0,0,22.1,0.16,0.36,1314,ganjam,surada,lathipada
odisha,ganjam,surada,20,merikote,0,24.67,21.21,3.43,0,0,24.64,0.03,0.64,1315,ganjam,surada,merikote
odisha,ganjam,surada,21,nuagada,0,35.18,15.82,25.28,0,0,41.1,-5.93,0.05,1316,ganjam,surada,nuagada
odisha,ganjam,surada,22,palakatu,0,16.11,16.06,0,0,0,16.06,0.04,0.09,1317,ganjam,surada,palakatu
odisha,ganjam,surada,23,raibandha,0,46.11,35.97,9.99,0,0,45.96,0.14,0.41,1318,ganjam,surada,raibandha
odisha,ganjam,surada,24,sarabadi,0,16.91,12.64,10.33,0,0,22.97,-6.06,0.15,1319,ganjam,surada,sarabadi
odisha,ganjam,surada,25,sidhapur,0,9.23,8.45,0.78,0,0,9.23,0,0.17,1320,ganjam,surada,sidhapur
odisha,ganjam,surada,26,suramani,0,49.08,43.71,5.24,0,0,48.95,0.13,0.4,1321,ganjam,surada,suramani
odisha,jharsuguda,jharsuguda,1,badmal,0,5.83,5.66,0.16,0,0,5.81,0.01,0,1322,jharsuguda,jharsuguda,badmal
odisha,jharsuguda,jharsuguda,2,chandinimal,0,4.02,3.96,2.25,0.15,0,6.35,-2.33,0.07,1323,jharsuguda,jharsuguda,chandinimal
odisha,jharsuguda,jharsuguda,3,dalki,0,9.52,9.59,0,0,0,9.59,-0.08,0.02,1324,jharsuguda,jharsuguda,dalki
odisha,jharsuguda,jharsuguda,4,durlaga,0,6.36,6.35,0.15,0,0,6.5,-0.14,0,1325,jharsuguda,jharsuguda,durlaga
odisha,jharsuguda,jharsuguda,5,gourmal,0,9.41,7.78,3.61,0.02,0,11.41,-2,0,1326,jharsuguda,jharsuguda,gourmal
odisha,jharsuguda,jharsuguda,6,h.katapali,0,10.4,9.5,0.96,0,0,10.46,-0.06,0.01,1327,jharsuguda,jharsuguda,h.katapali
odisha,jharsuguda,jharsuguda,7,hirma,0,12.45,13.22,3.37,0.05,0,16.64,-4.19,0.04,1328,jharsuguda,jharsuguda,hirma
odisha,jharsuguda,jharsuguda,8,jamera,0,6.82,6.35,1.79,0.03,0,8.17,-1.35,0,1329,jharsuguda,jharsuguda,jamera
odisha,jharsuguda,jharsuguda,9,katikela,0,2.77,3.06,0,0,0,3.06,-0.29,0.1,1330,jharsuguda,jharsuguda,katikela
odisha,jharsuguda,jharsuguda,10,kudopali,0,1.26,1.61,3.22,0.18,0,5.01,-3.75,0,1331,jharsuguda,jharsuguda,kudopali
