Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Bolangir,Patnagarh,1,Balipata,1.050,30.530,29.470,0.000,0.000,0.000,29.470,1.050,0.280
Odisha,Bolangir,Patnagarh,2,Baneimunda,-1.310,48.340,44.690,4.960,0.000,0.000,49.650,-1.310,0.140
Odisha,Bolangir,Patnagarh,3,Barpadar,-1.500,15.090,16.500,0.000,0.000,0.000,16.500,-1.410,0.350
Odisha,Bolangir,Patnagarh,4,Batharla,1.020,13.520,11.090,1.450,0.000,0.000,12.540,0.980,0.000
Odisha,Bolangir,Patnagarh,5,Bhainsa,0.810,22.240,21.390,0.000,0.000,0.000,21.390,0.840,0.360
Odisha,Bolangir,Patnagarh,6,Bharatbahal,0.000,8.260,8.220,0.000,0.000,0.000,8.220,0.040,0.140
Odisha,Bolangir,Patnagarh,7,Dangabahal,0.000,34.640,26.400,6.130,0.000,0.000,32.530,2.110,2.290
Odisha,Bolangir,Patnagarh,8,Deulgaon,1.590,38.590,35.820,1.330,0.000,0.000,37.140,1.440,0.400
Odisha,Bolangir,Patnagarh,9,Dhatuk,0.000,42.180,35.610,6.510,0.000,0.000,42.120,0.060,0.200
Odisha,Bolangir,Patnagarh,10,Dhubalpada,-0.230,18.060,18.290,0.000,0.000,0.000,18.290,-0.230,1.120
Odisha,Bolangir,Patnagarh,11,Gangasagar,0.170,11.090,10.910,0.000,0.000,0.000,10.910,0.180,0.650
Odisha,Bolangir,Patnagarh,12,Gerda,-0.390,39.940,40.000,0.260,0.000,0.000,40.260,-0.310,0.630
Odisha,Bolangir,Patnagarh,13,Ghasian,0.320,21.960,20.570,1.050,0.000,0.000,21.620,0.340,0.050
Odisha,Bolangir,Patnagarh,14,Ghuchepali,-1.020,23.700,24.670,0.000,0.000,0.000,24.670,-0.970,0.270
Odisha,Bolangir,Patnagarh,15,Jogimunda,0.930,27.730,25.650,1.030,0.000,0.000,26.680,1.050,0.230
Odisha,Bolangir,Patnagarh,16,Kendumundi,-0.500,47.750,47.610,0.630,0.000,0.000,48.240,-0.490,0.110
Odisha,Bolangir,Patnagarh,17,Kerbeda,0.000,20.910,20.910,0.000,0.000,0.000,20.910,0.000,0.780
Odisha,Bolangir,Patnagarh,18,Khuntsamlei,1.840,21.530,19.370,0.310,0.000,0.000,19.690,1.840,0.050
Odisha,Bolangir,Patnagarh,19,Khursel,0.000,23.180,23.070,0.120,0.000,0.000,23.190,-0.010,0.220
Odisha,Bolangir,Patnagarh,20,Larambha,0.000,44.250,43.570,0.580,0.000,0.000,44.150,0.100,0.880
Odisha,Bolangir,Patnagarh,21,Maruan,1.320,36.170,34.470,0.360,0.000,0.000,34.830,1.340,0.150
Odisha,Bolangir,Patnagarh,22,Mundomahul,-0.830,21.100,21.940,0.000,0.000,0.000,21.940,-0.840,0.120
Odisha,Bolangir,Patnagarh,23,Pandamunda,2.820,41.520,38.600,0.000,0.000,0.000,38.600,2.920,0.160
Odisha,Bolangir,Patnagarh,24,Phatamunda,0.000,23.470,17.480,5.830,0.000,0.000,23.310,0.150,0.620
Odisha,Bolangir,Patnagarh,25,Salepali,0.930,21.880,20.960,0.000,0.000,0.000,20.960,0.920,0.130
Odisha,Bolangir,Patnagarh,26,Solbandh,-0.790,14.100,14.890,0.000,0.000,0.000,14.890,-0.790,0.710
Odisha,Bolangir,Patnagarh,27,Sunamudi,3.310,37.070,32.940,1.050,0.000,0.000,33.990,3.080,0.640
Odisha,Bolangir,Patnagarh,28,Tamian,4.310,79.790,58.740,16.770,0.000,0.000,75.510,4.270,0.580
Odisha,Bolangir,Patnagarh,29,Tendapadar,2.680,23.610,20.940,0.000,0.000,0.000,20.940,2.680,0.330
Odisha,Bolangir,Patnagarh,30,Ulba,0.400,21.830,20.940,0.000,0.000,0.000,20.940,0.890,1.160
Odisha,Bolangir,Patnagarh,,Total,16.940,874.000,805.700,48.380,0.000,0.000,854.090,19.920,13.790
Odisha,Bolangir,Patnagarh,,Block Level Line Deptt.,-36.160,-36.160,57.920,51.070,0.000,0.000,108.990,-145.150,2.970
Odisha,Bolangir,Patnagarh,,Po,14.140,94.000,0.000,NA,NA,44.230,44.230,49.770,NA
Odisha,Bolangir,Patnagarh,,Grand Total,-5.080,931.840,863.620,99.450,0.000,44.230,1007.310,-75.460,16.760
Odisha,Bolangir,Puintala,1,Ainlasari,0.000,28.570,28.410,0.170,0.000,0.000,28.590,-0.020,0.150
Odisha,Bolangir,Puintala,2,Ankriapadar,-0.120,18.040,17.600,0.550,0.000,0.000,18.160,-0.120,0.090
Odisha,Bolangir,Puintala,3,Atgaon,0.730,33.800,28.200,4.880,0.000,0.000,33.080,0.730,0.130
Odisha,Bolangir,Puintala,4,Bahalpadar,0.930,37.280,36.320,0.000,0.000,0.000,36.320,0.960,0.120
Odisha,Bolangir,Puintala,5,Bairasar,2.810,10.570,7.780,0.000,0.000,0.000,7.780,2.800,0.000
Odisha,Bolangir,Puintala,6,Bandhpada,1.750,12.330,9.550,1.030,0.000,0.000,10.590,1.750,0.000
Odisha,Bolangir,Puintala,7,Bhaler,3.620,17.300,13.100,0.580,0.000,0.000,13.680,3.620,0.020
Odisha,Bolangir,Puintala,8,Bileisarda,0.670,35.450,28.650,6.110,0.090,0.000,34.850,0.610,0.160
Odisha,Bolangir,Puintala,9,Bubel,0.660,21.860,21.250,0.600,0.000,0.000,21.850,0.010,0.440
Odisha,Bolangir,Puintala,10,Chhatamakhna,2.710,21.400,18.720,0.000,0.000,0.000,18.720,2.680,0.260
Odisha,Bolangir,Puintala,11,Chhatapipal,2.240,52.380,48.730,1.880,0.000,0.000,50.620,1.760,0.300
Odisha,Bolangir,Puintala,12,Daspur,5.270,33.200,22.440,5.450,0.040,0.000,27.930,5.270,0.000
Odisha,Bolangir,Puintala,13,Durgapali,2.520,7.830,4.770,0.530,0.000,0.000,5.300,2.520,0.140
Odisha,Bolangir,Puintala,14,Gaintala,2.550,7.880,5.330,0.000,0.000,0.000,5.330,2.550,0.000
Odisha,Bolangir,Puintala,15,Jamgaon,5.470,46.020,28.570,11.900,0.000,0.000,40.470,5.550,0.910
Odisha,Bolangir,Puintala,16,Khaliapali,-0.630,22.270,21.440,1.460,0.010,0.000,22.910,-0.630,0.050
Odisha,Bolangir,Puintala,17,Kurul,0.200,11.420,11.210,0.020,0.000,0.000,11.220,0.200,0.010
Odisha,Bolangir,Puintala,18,Lukapada,3.850,40.990,30.980,6.020,0.040,0.000,37.040,3.940,0.400
Odisha,Bolangir,Puintala,19,Mahimunda,0.960,17.130,15.240,0.930,0.010,0.000,16.170,0.960,0.000
Odisha,Bolangir,Puintala,20,Malmunda,-1.960,6.240,7.670,0.270,0.000,0.000,7.940,-1.690,0.940
Odisha,Bolangir,Puintala,21,Patharla(Talgaj),4.020,46.210,40.640,1.550,0.000,0.000,42.190,4.020,0.320
Odisha,Bolangir,Puintala,22,Pipirda,0.020,16.150,16.560,0.000,0.000,0.000,16.560,-0.410,0.060
Odisha,Bolangir,Puintala,23,Puintala,2.420,9.410,7.000,0.000,0.000,0.000,7.000,2.420,0.030
Odisha,Bolangir,Puintala,24,Randa,2.810,25.110,21.670,0.610,0.020,0.000,22.300,2.810,0.150
Odisha,Bolangir,Puintala,25,Sauntpur,0.800,16.240,15.430,0.000,0.000,0.000,15.430,0.820,0.170
Odisha,Bolangir,Puintala,,Total,44.280,595.080,507.260,44.530,0.210,0.000,552.000,43.080,4.840
Odisha,Bolangir,Puintala,,Block Level Line Deptt.,-73.150,-73.150,11.770,18.460,0.200,0.000,30.430,-103.580,0.590
Odisha,Bolangir,Puintala,,Po,-1.100,86.740,0.000,NA,NA,61.250,61.250,25.490,NA
Odisha,Bolangir,Puintala,,Grand Total,-29.960,608.670,519.030,62.990,0.410,61.250,643.680,-35.010,5.430
Odisha,Bolangir,Saintala,1,Ambpali,-2.000,31.880,27.760,6.260,0.000,0.000,34.020,-2.140,0.600
Odisha,Bolangir,Saintala,2,Belgaon,-2.260,17.490,19.220,0.530,0.000,0.000,19.750,-2.260,0.230
Odisha,Bolangir,Saintala,3,Bhadra,0.230,34.070,32.920,0.920,0.000,0.000,33.840,0.230,0.090
Odisha,Bolangir,Saintala,4,Bibina,0.000,9.730,9.910,1.530,0.000,0.000,11.450,-1.710,1.470
Odisha,Bolangir,Saintala,5,Budabahal,-4.110,47.940,39.770,12.270,0.000,0.000,52.040,-4.110,1.960
Odisha,Bolangir,Saintala,6,Deng,-2.930,40.780,33.180,10.520,0.000,0.000,43.710,-2.930,0.220
Odisha,Bolangir,Saintala,7,Dharapgarh,-1.090,22.100,18.880,4.300,0.000,0.000,23.180,-1.090,0.360
Odisha,Bolangir,Saintala,8,Dunguripali,-5.060,33.660,29.450,9.530,0.000,0.000,38.980,-5.310,0.710
Odisha,Bolangir,Saintala,9,Gandpatrapali,-0.160,30.810,29.540,1.450,0.000,0.000,30.990,-0.180,0.080
Odisha,Bolangir,Saintala,10,Ghunsar,3.750,30.200,22.080,4.390,0.000,0.000,26.470,3.730,1.370
Odisha,Bolangir,Saintala,11,Jhinkidunguri,-2.690,38.920,32.440,9.020,0.000,0.000,41.450,-2.530,0.760
Odisha,Bolangir,Saintala,12,Jurabandh,-4.560,35.580,27.550,12.590,0.000,0.000,40.150,-4.560,0.930
Odisha,Bolangir,Saintala,13,Kandhkelgaon,-3.780,84.000,67.720,20.070,0.000,0.000,87.800,-3.800,0.590
Odisha,Bolangir,Saintala,14,Kansar,-0.350,40.000,24.800,15.540,0.000,0.000,40.350,-0.350,0.040
Odisha,Bolangir,Saintala,15,Karamtala,-4.380,63.010,52.970,22.190,0.000,0.000,75.160,-12.160,2.840
Odisha,Bolangir,Saintala,16,Kermeli,-0.640,34.270,27.510,22.530,0.000,0.000,50.040,-15.760,1.750
Odisha,Bolangir,Saintala,17,Kuikeda,-2.110,6.130,8.810,2.380,0.000,0.000,11.200,-5.070,0.420
Odisha,Bolangir,Saintala,18,Kumbhari,-3.670,9.610,11.480,1.830,0.000,0.000,13.310,-3.700,0.440
Odisha,Bolangir,Saintala,19,Saintala,-2.330,27.910,22.850,7.390,0.000,0.000,30.240,-2.330,3.340
Odisha,Bolangir,Saintala,20,Siskela,-1.510,32.520,27.560,6.460,0.000,0.000,34.020,-1.510,0.150
Odisha,Bolangir,Saintala,21,Talbahal,0.000,10.200,10.170,0.000,0.000,0.000,10.170,0.020,1.180
Odisha,Bolangir,Saintala,22,Tikrapada,2.540,113.160,81.580,29.040,0.000,0.000,110.620,2.540,0.640
Odisha,Bolangir,Saintala,,Total,-37.110,793.960,658.180,200.760,0.000,0.000,858.940,-64.970,20.180
Odisha,Bolangir,Saintala,,Block Level Line Deptt.,-102.020,-102.020,157.270,142.800,0.000,0.000,300.060,-402.080,2.400
Odisha,Bolangir,Saintala,,Po,64.020,310.830,0.000,NA,NA,35.440,35.440,275.390,NA
Odisha,Bolangir,Saintala,,Grand Total,-75.110,1002.780,815.450,343.560,0.000,35.440,1194.440,-191.660,22.580
Odisha,Bolangir,Titlagarh,1,Adabahal,-2.460,33.560,29.710,6.290,0.000,0.000,36.010,-2.450,1.450
Odisha,Bolangir,Titlagarh,2,Bandupala,0.680,71.620,59.490,11.260,0.000,0.000,70.750,0.860,0.350
Odisha,Bolangir,Titlagarh,3,Banjipadar,-8.280,91.530,76.810,23.060,0.000,0.000,99.870,-8.330,1.180
Odisha,Bolangir,Titlagarh,4,Bhalegaon,-4.590,31.380,32.630,3.340,0.000,0.000,35.970,-4.590,0.250
Odisha,Bolangir,Titlagarh,5,Bijepur,-22.100,88.310,98.200,12.170,0.000,0.000,110.360,-22.060,1.010
Odisha,Bolangir,Titlagarh,6,Binekela,-7.490,23.050,28.370,2.160,0.000,0.000,30.540,-7.490,2.900
Odisha,Bolangir,Titlagarh,7,Digsira,-1.450,51.490,43.030,10.030,0.000,0.000,53.060,-1.570,0.700
Odisha,Bolangir,Titlagarh,8,Ghantbahali,-4.630,29.500,29.930,4.190,0.000,0.000,34.120,-4.630,0.480
Odisha,Bolangir,Titlagarh,9,Ghodar,-2.160,31.470,28.420,5.270,0.000,0.000,33.700,-2.230,1.320
Odisha,Bolangir,Titlagarh,10,Jagua,1.720,46.260,42.180,2.360,0.000,0.000,44.540,1.720,0.230
Odisha,Bolangir,Titlagarh,11,Katarkela,0.000,35.820,33.620,2.260,0.000,0.000,35.870,-0.060,0.210
Odisha,Bolangir,Titlagarh,12,Kholan,-6.340,33.120,33.190,6.280,0.000,0.000,39.470,-6.340,0.930
Odisha,Bolangir,Titlagarh,13,Kursud,0.130,40.100,35.300,4.780,0.000,0.000,40.080,0.020,1.360
Odisha,Bolangir,Titlagarh,14,Kuskela,-3.900,34.630,35.940,2.580,0.000,0.000,38.530,-3.900,0.810
Odisha,Bolangir,Titlagarh,15,Luthurbandh,-5.330,14.330,19.660,0.000,0.000,0.000,19.660,-5.330,0.930
Odisha,Bolangir,Titlagarh,16,Mahulpada,-5.410,41.600,40.620,6.340,0.000,0.000,46.960,-5.370,2.730
Odisha,Bolangir,Titlagarh,17,Manigaon,-3.830,41.210,40.920,4.120,0.000,0.000,45.040,-3.830,0.200
Odisha,Bolangir,Titlagarh,18,Marlad,1.570,35.660,29.220,4.880,0.000,0.000,34.100,1.570,0.240
Odisha,Bolangir,Titlagarh,19,Naren,4.430,60.680,56.240,0.000,0.000,0.000,56.240,4.430,0.240
Odisha,Bolangir,Titlagarh,20,Parasara,-4.160,32.430,36.590,0.000,0.000,0.000,36.590,-4.160,0.700
Odisha,Bolangir,Titlagarh,21,Sagadghat,-6.960,35.910,38.490,4.440,0.000,0.000,42.930,-7.020,4.060
Odisha,Bolangir,Titlagarh,22,Sihini,3.560,71.230,49.030,18.890,0.000,0.000,67.920,3.310,0.430
Odisha,Bolangir,Titlagarh,23,Siluan,-5.080,22.540,22.980,4.640,0.000,0.000,27.620,-5.080,1.030
Odisha,Bolangir,Titlagarh,24,Surda,0.000,37.260,35.640,1.620,0.000,0.000,37.260,0.000,4.660
Odisha,Bolangir,Titlagarh,,Total,-82.080,1034.670,976.250,140.950,0.000,0.000,1117.200,-82.530,28.420
Odisha,Bolangir,Titlagarh,,Block Level Line Deptt.,-98.290,-98.290,56.220,15.560,0.000,0.000,71.770,-170.060,4.360
Odisha,Bolangir,Titlagarh,,Po,23.120,80.820,0.000,NA,NA,36.690,36.690,44.130,NA
Odisha,Bolangir,Titlagarh,,Grand Total,-157.250,1017.200,1032.470,156.510,0.000,36.690,1225.660,-208.460,32.780
Odisha,Bolangir,Turekela,1,Badbanki,-3.330,71.040,70.980,3.410,0.000,0.000,74.390,-3.350,0.320
Odisha,Bolangir,Turekela,2,Baddakla,0.360,40.010,39.770,0.200,0.000,0.000,39.970,0.040,0.620
Odisha,Bolangir,Turekela,3,Buromal,0.000,32.610,32.550,0.060,0.000,0.000,32.610,0.000,0.110
Odisha,Bolangir,Turekela,4,Chatuanka,0.000,9.450,9.340,0.100,0.000,0.000,9.440,0.010,0.030
Odisha,Bolangir,Turekela,5,Chaulsukha,0.970,32.550,31.460,0.210,0.000,0.000,31.670,0.880,0.090
Odisha,Bolangir,Turekela,6,Dhamandanga,-1.040,65.990,66.960,0.150,0.000,0.000,67.110,-1.120,0.710
Odisha,Bolangir,Turekela,7,Dholmandal,-5.560,22.010,27.570,0.000,0.000,0.000,27.580,-5.560,0.420
Odisha,Bolangir,Turekela,8,Ghunesh,-2.250,40.230,39.250,3.240,0.000,0.000,42.490,-2.250,0.000
Odisha,Bolangir,Turekela,9,Halanbhata,1.050,25.330,16.930,7.400,0.000,0.000,24.330,1.000,0.510
Odisha,Bolangir,Turekela,10,Hial,1.110,52.320,50.140,0.810,0.000,0.000,50.950,1.370,0.640
Odisha,Bolangir,Turekela,11,Jharni,0.010,25.150,22.730,2.120,0.270,0.000,25.120,0.030,0.060
Odisha,Bolangir,Turekela,12,Kameimunda,0.950,26.870,25.540,0.370,0.000,0.000,25.920,0.950,0.350
Odisha,Bolangir,Turekela,13,Kandei,-2.560,35.420,30.840,7.120,0.130,0.000,38.090,-2.670,0.220
Odisha,Bolangir,Turekela,14,Karuanmunda,0.740,35.870,34.950,0.180,0.000,0.000,35.130,0.740,0.340
Odisha,Bolangir,Turekela,15,Khagsa,1.410,22.910,18.970,2.230,0.300,0.000,21.490,1.410,0.340
Odisha,Bolangir,Turekela,16,Kuibahal,-0.120,39.000,34.430,4.620,0.130,0.000,39.180,-0.180,0.280
Odisha,Bolangir,Turekela,17,Mahakhand,-0.550,30.340,30.480,0.400,0.000,0.000,30.880,-0.530,0.140
Odisha,Bolangir,Turekela,18,Mahulpati,0.790,82.620,61.670,19.030,1.110,0.000,81.820,0.800,0.290
Odisha,Bolangir,Turekela,19,Turekela,-0.230,35.510,35.630,0.080,0.000,0.000,35.710,-0.200,0.340
Odisha,Bolangir,Turekela,,Total,-8.250,725.240,680.170,51.730,1.940,0.000,733.850,-8.610,5.820
Odisha,Bolangir,Turekela,,Block Level Line Deptt.,-68.030,-68.030,72.930,40.640,0.750,0.260,114.580,-182.610,1.200
Odisha,Bolangir,Turekela,,Po,-4.160,43.780,0.000,NA,NA,33.370,33.370,10.410,NA
Odisha,Bolangir,Turekela,,Grand Total,-80.430,700.990,753.100,92.370,2.690,33.630,881.800,-180.810,7.020
Odisha,Boudh,Boudh,1,Ainlapali,0.000,16.010,15.090,2.520,0.000,0.000,17.610,-1.600,0.810
Odisha,Boudh,Boudh,2,Ambajhari,-0.470,25.010,20.710,4.720,0.010,0.000,25.440,-0.430,0.280
Odisha,Boudh,Boudh,3,Badhigaon,0.000,44.490,36.400,7.520,0.480,0.000,44.390,0.100,0.920
Odisha,Boudh,Boudh,4,Baghiapada,0.000,34.260,32.050,2.190,0.000,0.000,34.250,0.010,0.350
Odisha,Boudh,Boudh,5,Bohira,-0.540,26.150,23.220,2.160,0.000,0.000,25.370,0.780,3.250
Odisha,Boudh,Boudh,6,Baunsuni,0.000,23.800,21.930,1.780,0.000,0.000,23.710,0.090,0.720
Odisha,Boudh,Boudh,7,Brahmanipali,-0.070,48.110,42.670,5.350,0.200,0.000,48.210,-0.100,0.360
Odisha,Boudh,Boudh,8,Gochhapada,-0.360,61.360,51.620,10.010,0.110,0.000,61.740,-0.370,0.280
Odisha,Boudh,Boudh,9,Gundulia,-0.250,32.890,35.860,0.000,0.000,0.000,35.850,-2.960,0.320
Odisha,Boudh,Boudh,10,Kasurbandh,0.000,9.010,8.190,0.880,0.000,0.000,9.080,-0.070,0.350
Odisha,Boudh,Boudh,11,Khaliapali Purumunda,0.000,9.000,9.510,1.400,0.000,0.000,10.910,-1.910,1.640
Odisha,Boudh,Boudh,12,Khuntabandha,-0.370,1.610,2.600,0.260,0.000,0.000,2.860,-1.250,0.080
Odisha,Boudh,Boudh,13,Laxmiprasad,-0.450,14.410,13.720,1.350,0.160,0.000,15.240,-0.830,0.000
Odisha,Boudh,Boudh,14,Manupali,0.000,7.420,10.870,0.170,0.000,0.000,11.040,-3.630,1.020
Odisha,Boudh,Boudh,15,Mundapada,-1.000,26.080,27.000,0.090,0.000,0.000,27.080,-1.000,0.170
Odisha,Boudh,Boudh,16,Mundipadar,-0.030,19.070,19.140,0.000,0.000,0.000,19.140,-0.060,0.150
Odisha,Boudh,Boudh,17,Mursundhi,-0.140,19.670,17.610,2.120,0.010,0.000,19.740,-0.080,0.140
Odisha,Boudh,Boudh,18,Padmanapur,0.000,10.550,12.280,0.000,0.000,0.000,12.280,-1.740,1.820
Odisha,Boudh,Boudh,19,Raxa,-0.030,11.720,14.030,1.760,0.010,0.000,15.810,-4.080,3.850
Odisha,Boudh,Boudh,20,Sagada,-0.010,21.210,17.920,2.620,0.460,0.000,21.000,0.210,1.810
Odisha,Boudh,Boudh,21,Talasarada,0.000,28.470,30.920,0.060,0.000,0.000,30.980,-2.510,3.590
Odisha,Boudh,Boudh,22,Telibandha,-0.650,18.950,19.800,0.080,0.000,0.000,19.890,-0.930,1.620
Odisha,Boudh,Boudh,23,Tikarapada,-0.070,28.060,27.660,0.520,0.000,0.000,28.180,-0.120,2.420
Odisha,Boudh,Boudh,,Total,-4.430,537.310,510.800,47.560,1.440,0.000,559.800,-22.490,25.960
Odisha,Boudh,Boudh,,Block Level Line Deptt.,-8.620,-8.620,374.630,147.100,4.810,14.670,541.220,-549.840,12.700
Odisha,Boudh,Boudh,,Po,0.000,280.360,0.000,NA,NA,31.780,31.780,248.580,NA
Odisha,Boudh,Boudh,,Grand Total,-13.060,809.050,885.430,194.660,6.250,46.450,1132.800,-323.750,38.660
Odisha,Boudh,Harbhanga,1,Adenigarh,-0.110,6.980,19.300,0.000,0.000,0.000,19.300,-12.320,1.100
Odisha,Boudh,Harbhanga,2,Bamanda,-0.380,15.590,17.420,0.000,0.000,0.000,17.420,-1.830,4.940
Odisha,Boudh,Harbhanga,3,Bandhapathar,-0.350,10.110,10.900,0.000,0.000,0.000,10.900,-0.790,2.810
Odisha,Boudh,Harbhanga,4,Banibhusanapur,-0.510,26.260,21.080,6.260,0.750,0.000,28.080,-1.820,7.040
Odisha,Boudh,Harbhanga,5,Biranarasinghpur,-0.020,14.000,12.850,1.200,0.000,0.000,14.050,-0.050,2.610
Odisha,Boudh,Harbhanga,6,Chhatranga,-0.060,27.500,23.260,4.530,0.000,0.000,27.780,-0.280,3.110
Odisha,Boudh,Harbhanga,7,Dhalpur,-0.750,23.610,24.760,0.000,0.000,0.000,24.760,-1.150,3.360
Odisha,Boudh,Harbhanga,8,Harabhanga,-0.080,13.200,15.530,0.590,0.000,0.000,16.110,-2.920,0.840
Odisha,Boudh,Harbhanga,9,Karanjakata,0.000,12.660,10.500,2.150,0.010,0.000,12.660,0.000,2.310
Odisha,Boudh,Harbhanga,10,Kusang,-0.740,12.850,11.750,1.880,0.000,0.000,13.630,-0.780,3.130
Odisha,Boudh,Harbhanga,11,Lunibahal,0.000,21.130,16.650,6.330,0.010,0.000,22.990,-1.860,3.120
Odisha,Boudh,Harbhanga,12,Mahalikpada,0.000,26.740,21.190,5.450,0.040,0.000,26.680,0.070,2.050
Odisha,Boudh,Harbhanga,13,Mathura,-0.730,12.810,16.060,0.000,0.000,0.000,16.060,-3.250,0.740
Odisha,Boudh,Harbhanga,14,Pitambarpur,-0.010,13.350,14.480,0.000,0.000,0.000,14.480,-1.130,0.870
Odisha,Boudh,Harbhanga,15,Purunakatak,-0.390,13.630,15.060,1.290,0.000,0.000,16.350,-2.720,2.590
Odisha,Boudh,Harbhanga,16,Radhanagar,-1.260,14.920,14.070,3.480,0.240,0.000,17.790,-2.870,1.790
Odisha,Boudh,Harbhanga,17,Ramgarh,-1.710,17.770,13.780,6.530,0.000,0.000,20.310,-2.540,0.670
Odisha,Boudh,Harbhanga,18,Sampoch,-0.020,16.740,16.260,1.480,0.000,0.000,17.730,-1.000,1.930
Odisha,Boudh,Harbhanga,19,Sankuloi,0.000,12.700,9.340,3.610,0.010,0.000,12.960,-0.260,1.190
Odisha,Boudh,Harbhanga,20,Sarasara,-0.020,10.460,11.240,0.000,0.000,0.000,11.240,-0.770,1.780
Odisha,Boudh,Harbhanga,21,Talagaon,-0.180,62.570,35.220,27.480,0.180,0.000,62.880,-0.310,3.230
Odisha,Boudh,Harbhanga,22,Tileswar,-0.080,17.740,19.510,0.450,0.000,0.000,19.960,-2.220,2.340
Odisha,Boudh,Harbhanga,,Total,-7.420,403.330,370.180,72.700,1.250,0.000,444.120,-40.800,53.560
Odisha,Boudh,Harbhanga,,Block Level Line Deptt.,-2.920,-2.920,504.290,153.030,3.640,0.060,661.020,-663.940,21.200
Odisha,Boudh,Harbhanga,,Po,-27.220,334.790,0.000,NA,NA,35.450,35.450,299.340,NA
Odisha,Boudh,Harbhanga,,Grand Total,-37.560,735.200,874.470,225.730,4.890,35.510,1140.590,-405.400,74.760
Odisha,Boudh,Kantamal,1,Ambagaon,0.000,47.860,43.200,4.850,0.000,0.000,48.050,-0.190,0.110
Odisha,Boudh,Kantamal,2,Baragaon,-0.720,67.790,63.890,8.730,0.000,0.000,72.620,-4.830,2.450
Odisha,Boudh,Kantamal,3,Baragochha,-1.170,26.860,28.270,0.260,0.000,0.000,28.530,-1.670,4.120
Odisha,Boudh,Kantamal,4,Bilaspur,0.000,50.710,36.120,15.670,0.000,0.000,51.790,-1.080,1.150
Odisha,Boudh,Kantamal,5,Dapala,0.000,38.150,42.300,2.230,0.000,0.000,44.530,-6.380,3.840
Odisha,Boudh,Kantamal,6,Ghantapada,-2.530,29.940,33.640,2.630,0.000,0.000,36.270,-6.330,3.180
Odisha,Boudh,Kantamal,7,Ghikundi,-0.610,16.750,16.000,2.140,0.000,0.000,18.140,-1.380,0.120
Odisha,Boudh,Kantamal,8,Gudvelipadar,0.000,17.800,18.330,1.880,0.000,0.000,20.210,-2.410,0.710
Odisha,Boudh,Kantamal,9,Jogendrapur,-0.060,44.200,36.920,9.870,0.000,0.000,46.790,-2.590,0.640
Odisha,Boudh,Kantamal,10,Kantamal,-0.700,33.850,26.630,9.090,0.000,0.000,35.730,-1.880,0.560
Odisha,Boudh,Kantamal,11,Khaliapali,-0.550,12.090,13.100,1.090,0.000,0.000,14.190,-2.100,1.210
Odisha,Boudh,Kantamal,12,Khamanamunda,-0.640,31.940,26.570,6.750,0.000,0.000,33.320,-1.390,2.550
Odisha,Boudh,Kantamal,13,Khatakhatia,-3.070,37.490,42.010,0.610,0.000,0.000,42.610,-5.120,1.220
Odisha,Boudh,Kantamal,14,Khuntigora,-0.500,15.250,16.670,7.840,0.000,0.000,24.510,-9.270,1.470
Odisha,Boudh,Kantamal,15,Kultajore,0.000,69.080,55.940,15.620,0.000,0.000,71.560,-2.470,1.870
Odisha,Boudh,Kantamal,16,Lambasari,-0.230,73.580,71.660,12.340,0.000,0.000,84.010,-10.420,6.070
Odisha,Boudh,Kantamal,17,Manamunda,0.310,25.870,26.750,1.320,0.000,0.000,28.070,-2.200,0.590
Odisha,Boudh,Kantamal,18,Narayanprasad,-0.010,33.430,32.680,12.090,0.000,0.000,44.760,-11.330,2.260
Odisha,Boudh,Kantamal,19,Palasagora,-0.150,72.080,65.030,9.800,0.000,0.000,74.820,-2.740,2.100
Odisha,Boudh,Kantamal,20,Rengali,-0.600,61.500,51.670,13.000,0.010,0.000,64.680,-3.180,1.820
Odisha,Boudh,Kantamal,21,Rundimahul,-0.430,20.300,20.560,0.800,0.000,0.000,21.360,-1.060,0.640
Odisha,Boudh,Kantamal,22,Similipadar,0.550,32.030,31.270,3.120,0.000,0.000,34.380,-2.360,0.920
Odisha,Boudh,Kantamal,23,Sundhipadar,0.780,62.060,53.390,9.150,0.000,0.000,62.540,-0.480,2.830
Odisha,Boudh,Kantamal,24,Uma,1.250,20.110,20.140,0.430,0.000,0.000,20.580,-0.460,0.220
Odisha,Boudh,Kantamal,,Total,-9.070,940.720,872.720,151.310,0.010,0.000,1024.030,-83.310,42.630
Odisha,Boudh,Kantamal,,Block Level Line Deptt.,-0.720,-0.720,252.820,174.280,0.760,0.820,428.690,-429.410,8.550
Odisha,Boudh,Kantamal,,Po,-12.670,74.360,0.000,NA,NA,28.090,28.090,46.270,NA
Odisha,Boudh,Kantamal,,Grand Total,-22.460,1014.360,1125.540,325.590,0.770,28.910,1480.810,-466.450,51.180
Odisha,Deogarh,Barkote,1,Ballam,-0.270,20.210,18.720,1.220,0.000,0.000,19.950,0.270,0.050
