g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
95,4699,baragarh,yes,bijepur,yes,patharla,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,18,patharla,3.15,7.08,15.46,0,0,0,15.46,-8.38,0.78,baragarh,bijepur,patharla
96,4700,baragarh,yes,bijepur,yes,saipali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,19,saipali,0.74,3.62,22.65,0,0,0,22.65,-19.02,0.5,baragarh,bijepur,saipali
97,4701,baragarh,yes,bijepur,yes,samaleipadar,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,20,samaleipadar,1.18,2.11,10.16,0,0,0,10.16,-8.05,0.11,baragarh,bijepur,samaleipadar
98,4702,baragarh,yes,bijepur,yes,sanbausen,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,21,sanbausen,3.06,15.36,17.78,2.68,0,0,20.46,-5.1,0,baragarh,bijepur,sanbausen
99,4703,baragarh,yes,bijepur,yes,surubali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,22,surubali,1.02,1.93,8.5,0,0,0,8.5,-6.57,0.03,baragarh,bijepur,surubali
100,4704,baragarh,yes,bijepur,yes,t.gandpali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,23,t.gandpali,1.46,2.37,16.7,1.15,0,0,17.86,-15.48,0.07,baragarh,bijepur,t.gandpali
101,4705,baragarh,yes,bijepur,yes,talpadar,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,24,talpadar,0,4.29,7.41,3.76,0,0,11.17,-6.88,0,baragarh,bijepur,talpadar
102,4638,baragarh,yes,barpali,yes,patkulunda,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,17,patkulunda,0,22.51,20.72,1.8,0,0,22.52,-0.01,0.29,baragarh,barpali,patkulunda
103,4622,baragarh,yes,barpali,yes,agalpur,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,1,agalpur,0,15.2,15.75,2.05,0,0,17.81,-2.6,0.21,baragarh,barpali,agalpur
104,4624,baragarh,yes,barpali,yes,bandhpali,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,3,bandhpali,0,7.62,7.62,0,0,0,7.62,0,0,baragarh,barpali,bandhpali
105,4626,baragarh,yes,barpali,yes,barguda,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,5,barguda,0,12.64,12.68,0,0,0,12.68,-0.03,0.01,baragarh,barpali,barguda
106,4627,baragarh,yes,barpali,yes,bhatigaon,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,6,bhatigaon,0,16.98,12.48,6.06,0,0,18.54,-1.56,0.02,baragarh,barpali,bhatigaon
107,4628,baragarh,yes,barpali,yes,gopeipali,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,7,gopeipali,0,12.17,8.05,4.17,0,0,12.21,-0.05,0.41,baragarh,barpali,gopeipali
