g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
48,788,baragarh,yes,padampur,yes,palsapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,19,palsapali,37,47.2,0,59.8,144,baragarh,padampur,palsapali
49,789,baragarh,yes,padampur,yes,purena,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,20,purena,20,38.3,0,55.6,113.9,baragarh,padampur,purena
50,771,baragarh,yes,padampur,yes,barikel,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,2,barikel,36,40.6,0,62.6,139.2,baragarh,padampur,barikel
51,770,baragarh,yes,padampur,yes,barihapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,1,barihapali,10.5,26.9,0,50.8,88.2,baragarh,padampur,barihapali
52,773,baragarh,yes,padampur,yes,budamal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,4,budamal,32.9,31.3,0,65.6,129.8,baragarh,padampur,budamal
53,774,baragarh,yes,padampur,yes,buden,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,5,buden,40.3,67.3,0,53.7,161.3,baragarh,padampur,buden
54,772,baragarh,yes,padampur,yes,bheunria,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,3,bheunria,25.1,16.1,0,34.3,75.5,baragarh,padampur,bheunria
55,786,baragarh,yes,padampur,yes,mahulpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,17,mahulpali,19,13.7,0,25.9,58.6,baragarh,padampur,mahulpali
56,787,baragarh,yes,padampur,yes,melchhamunda,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,18,melchhamunda,28.1,43.9,0,81.1,153.1,baragarh,padampur,melchhamunda
57,790,baragarh,yes,padampur,yes,sargibahal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,21,sargibahal,32.6,40.7,0,41.4,114.7,baragarh,padampur,sargibahal
