Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Khaprakhol,10,Lathor,5.370,38.260,21.000,11.870,0.000,0.000,32.870,5.390,0.120
Odisha,Bolangir,Khaprakhol,11,Luhasingha,0.330,34.380,29.850,4.190,0.000,0.000,34.040,0.340,0.100
Odisha,Bolangir,Khaprakhol,12,Maharapadar,0.420,31.080,27.600,2.990,0.000,0.000,30.590,0.490,0.040
Odisha,Bolangir,Khaprakhol,13,Malpara,0.000,13.250,13.250,0.000,0.000,0.000,13.250,0.000,0.150
Odisha,Bolangir,Khaprakhol,14,Matiabhata,0.290,57.700,44.030,13.370,0.000,0.000,57.400,0.290,0.000
Odisha,Bolangir,Khaprakhol,15,Nandupala,2.740,23.660,20.890,0.030,0.000,0.000,20.920,2.740,0.050
Odisha,Bolangir,Khaprakhol,16,Padiabahal,3.540,22.110,18.260,0.000,0.000,0.000,18.260,3.850,0.030
Odisha,Bolangir,Khaprakhol,17,Rengali,0.310,15.870,12.620,2.850,0.000,0.000,15.470,0.400,0.420
Odisha,Bolangir,Khaprakhol,18,Sahajpani,0.000,21.520,21.520,0.000,0.000,0.000,21.520,0.000,0.110
Odisha,Bolangir,Khaprakhol,19,Tankapani,0.320,52.970,40.130,12.370,0.000,0.000,52.500,0.470,0.470
Odisha,Bolangir,Khaprakhol,20,Telenpali,2.120,25.330,22.970,0.000,0.000,0.000,22.970,2.360,0.040
Odisha,Bolangir,Khaprakhol,21,Udiapali,0.230,29.900,26.500,2.880,0.000,0.000,29.380,0.520,0.130
Odisha,Bolangir,Khaprakhol,,Total,28.310,632.280,522.880,79.190,0.000,0.000,602.060,30.220,3.540
Odisha,Bolangir,Khaprakhol,,Block Level Line Deptt.,-108.130,-108.130,152.880,216.020,1.010,0.880,370.790,-478.920,1.720
Odisha,Bolangir,Khaprakhol,,Po,-3.030,287.050,0.000,NA,NA,30.510,30.510,256.540,NA
Odisha,Bolangir,Khaprakhol,,Grand Total,-82.860,811.200,675.760,295.210,1.010,31.390,1003.360,-192.160,5.260
Odisha,Bolangir,loisingha,1,Badibahal,-5.210,45.100,32.310,17.720,0.200,0.000,50.230,-5.130,0.760
Odisha,Bolangir,loisingha,2,Badimunda,1.440,17.570,12.500,3.590,0.030,0.000,16.120,1.440,0.150
Odisha,Bolangir,loisingha,3,Banipali,0.000,27.180,25.020,2.120,0.030,0.000,27.180,0.000,0.210
Odisha,Bolangir,loisingha,4,Budhipadar,0.650,31.280,24.360,6.220,0.050,0.000,30.620,0.650,0.160
Odisha,Bolangir,loisingha,5,Burda,-0.340,13.910,13.130,5.270,0.070,0.000,18.470,-4.560,0.290
Odisha,Bolangir,loisingha,6,Dunguripali,-8.510,8.450,17.680,4.120,0.050,0.000,21.850,-13.410,0.260
Odisha,Bolangir,loisingha,7,Hirapur,1.990,31.470,27.530,1.900,0.030,0.000,29.460,2.010,0.190
Odisha,Bolangir,loisingha,8,Jharmunda,0.860,19.790,16.280,2.620,0.030,0.000,18.920,0.860,0.020
Odisha,Bolangir,loisingha,9,Jogisurda,0.440,34.120,25.650,7.880,0.100,0.000,33.640,0.480,0.670
Odisha,Bolangir,loisingha,10,Kandajuri,-1.690,14.220,13.420,2.400,0.030,0.000,15.850,-1.640,0.030
Odisha,Bolangir,loisingha,11,Kusang,0.490,16.860,16.660,1.220,0.020,0.000,17.900,-1.030,0.030
Odisha,Bolangir,loisingha,12,Kusmel,-1.950,28.090,30.720,4.200,0.050,0.000,34.960,-6.870,0.110
